day,wtic_pool_volume_usd,wtic_close_usd,priced_observation,dust_or_no_trade
2026-03-12,176.807467,86.441004,1,0
2026-03-13,1257.485208,92.511466,1,0
2026-03-14,834.407893,98.902990,1,0
2026-03-16,483.359542,98.165800,1,0
2026-03-18,381.160487,95.290122,1,0
2026-03-23,569.816411,91.790939,1,0
2026-03-25,363.338675,90.834669,1,0
2026-03-27,999.465989,94.356904,1,0
2026-03-29,344.113733,97.685986,1,0
2026-03-30,460.752403,102.004927,1,0
2026-04-01,6.027298,,0,1
2026-04-02,620.091754,105.163537,1,0
2026-04-05,406.640334,108.236622,1,0
2026-04-06,5.000119,,0,1
2026-04-08,2600.868118,91.062517,1,0
2026-04-09,3.988366,,0,1
2026-04-10,9.917045,,0,1
2026-04-11,1.999770,,0,1
2026-04-12,1009.334268,95.831263,1,0
2026-04-13,946.447964,93.732422,1,0
2026-04-14,869.413631,92.862742,1,0
2026-04-15,4.234261,,0,1
2026-04-17,1154.701311,88.823178,1,0
2026-04-18,108.810577,85.800196,1,0
2026-04-19,98.516757,,0,1
2026-04-22,1821.054911,87.156179,1,0
2026-04-23,7991.682288,92.661559,1,0
2026-04-24,30.140758,,0,1
2026-04-25,4.992427,,0,1
2026-04-26,68.516282,,0,1
2026-04-27,1206.922224,93.980079,1,0
2026-04-28,4722.308339,98.588329,1,0
2026-04-29,3274.303892,100.370915,1,0
2026-04-30,1412.680358,101.839431,1,0
2026-05-01,622.285125,102.962159,1,0
2026-05-03,3024.966080,100.328553,1,0
2026-05-04,6231.089934,103.127183,1,0
2026-05-05,40.957928,,0,1
2026-05-06,13768.283550,94.895325,1,0
2026-05-11,96.890125,,0,1
2026-05-12,4521.016506,97.045423,1,0
2026-05-13,602.920948,96.845709,1,0
2026-05-15,3203.702376,98.735356,1,0
2026-05-17,3949.562155,100.669696,1,0
2026-05-18,2782.718004,100.933245,1,0
2026-05-19,1326.994164,101.632248,1,0
2026-05-20,3141.489134,101.551361,1,0
2026-05-21,4030.636811,99.165028,1,0
2026-05-22,4945.629458,97.843657,1,0
2026-05-23,6677.576131,94.859766,1,0
2026-05-25,10.913063,,0,1
2026-05-26,10.819640,,0,1
2026-05-28,1500.872295,94.897366,1,0
2026-06-01,43.199578,,0,1
2026-06-02,14.650685,,0,1
2026-06-03,71597.414175,96.469249,1,0
2026-06-04,86240.011020,97.046299,1,0
2026-06-05,12543.795892,96.191309,1,0
2026-06-06,11539.459381,96.284625,1,0
2026-06-07,17616.177521,96.536705,1,0
2026-06-08,3847.234537,97.124858,1,0
2026-06-09,11041.846420,89.024219,1,0
2026-06-10,5338.320222,90.260963,1,0
2026-06-11,7695.497642,85.804223,1,0
2026-06-12,5752.242214,82.754610,1,0
2026-06-13,3295.386433,82.912451,1,0
2026-06-14,6088.110283,83.095587,1,0
2026-06-15,7839.431705,82.647752,1,0
2026-06-16,1157.456487,82.508509,1,0
2026-06-17,5930.920881,75.096792,1,0
2026-06-18,257.852844,75.086965,1,0
2026-06-19,2612.603216,75.758937,1,0
2026-06-20,1625.089644,77.891958,1,0
2026-06-21,6044.882006,77.999962,1,0
2026-06-22,4429.501552,76.013249,1,0
2026-06-23,844.755848,75.466592,1,0
2026-06-24,30579.070423,71.261744,1,0
2026-06-25,38204.110332,71.447113,1,0
2026-06-26,4974.132677,71.024237,1,0
2026-06-27,117051.709698,71.408515,1,0
2026-06-28,102335.198824,72.796725,1,0
2026-06-29,92552.131313,70.934710,1,0
2026-06-30,7213.133443,71.119407,1,0
2026-07-01,60268.980005,68.298987,1,0
2026-07-02,48065.425911,68.091560,1,0
2026-07-03,361598.322714,69.207890,1,0
2026-07-04,357.280076,68.950436,1,0
2026-07-05,384.043667,68.602746,1,0
2026-07-06,96.229607,,0,1
2026-07-07,3519.461791,71.589179,1,0
2026-07-08,3531.037951,74.374069,1,0
2026-07-09,2942.225080,72.577004,1,0
2026-07-10,0.444514,,0,1
2026-07-11,4.925457,,0,1
2026-07-12,1605.313917,73.283340,1,0
2026-07-13,10181.395367,79.534874,1,0
2026-07-14,656.284889,79.851618,1,0
2026-07-15,70.079357,,0,1
2026-07-16,0.145770,,0,1
2026-07-17,21.757907,,0,1
2026-07-20,18488.043149,82.264411,1,0
2026-07-21,2098.901045,83.752541,1,0
2026-07-22,1951.486254,85.187701,1,0
2026-07-23,7102.223582,91.120844,1,0
2026-07-24,5524.770153,89.478792,1,0
2026-07-25,4.436488,,0,1
2026-07-26,6533.890920,84.890903,1,0
2026-07-27,3997.494297,82.202152,1,0
2026-07-28,5570.316040,81.361601,1,0
2026-07-29,2181.970256,84.468147,1,0
2026-07-30,5410.499721,83.698872,1,0
2026-07-31,7331.884396,86.936466,1,0
2026-08-01,1394.584233,86.979126,1,0
